Court	Opinion Type	File Name	Test Position	Context	Test Paragraph	Context Next	Score	Top Suggestion	Semantic Scores
Tribunal	Majority	A Alston  Ors v The Doctors Laboratory Limited  Ors.xml	Middle	-	-	-	-	A v Choice Support formerly MCCH Ltd	-
Tribunal	Majority	A v Carers Trust South East Wales.xml	Middle	-	-	-	-	A v Choice Support formerly MCCH Ltd	-
